id	name	int_name	alternative_names	latitude	longitude	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	country	date
2772671	Ledava	Ledava	Ledava,Lendava,Lendva,Lendva-patak,Limbach	46.47238	16.6075	H	STM	SI	AT,HU,SI	00				0		148	Europe/Budapest	2021-03-05
3164599	Venezia Giulia	Venezia Giulia	Beneska-Slovenija,Beneška-Slovenija,Julian March,Julijska Benecija,Julisch Venetien,Slovenia Veneziana,South Slavic Region of Istria,The Marches,Venecia Julia,Venetian Slovenia,Venezia Giulia	46.25	13.5	L	RGN	SI	IT	46				0		270	Europe/Ljubljana	2023-09-09
3166475	Slovenia	Slovenia	Slovenia,Slovenija	46	15	L	RGN	SI		I5				0		465	Europe/Ljubljana	2019-10-10
3174089	Mangrt	Mangrt	Mangarat,Mangart,Manhart,Monte Mangart,Veliki Mangrt	46.43954	13.65489	T	MT	SI		00				0	2678	2630	Europe/Ljubljana	2010-06-06
3186234	Rašica	Rasica	Rascica,Rasica,Rašica,Raščica	45.855	14.62639	P	PPL	SI		D8				267		514	Europe/Ljubljana	2014-04-25
3186238	Mola	Mola	Bach Molla	45.55	14.73333	H	STM	SI		00				0		1063	Europe/Ljubljana	2007-05-30
3186239	Mrše	Mrse	Merse,Mrse,Mrše	45.58306	14.04611	P	PPL	SI		35				29		710	Europe/Ljubljana	2020-06-11
3186254	Žvirče	Zvirce	Zvirce,Žvirče	45.78389	14.82556	P	PPL	SI		N8				125		441	Europe/Ljubljana	2014-04-25
3186269	Žvab	Zvab	Zvab,Žvab	46.4671	16.11979	P	PPL	SI		87				89		278	Europe/Ljubljana	2014-04-26
3186270	Žužemberk	Zuzemberk	Obcina Zuzemberk,Občina Žužemberk,Seisenberg,Zuzemberk,Zuzemperk,jujenberuku,Žužemberk,Žužemperk,ジュジェンベルク	45.83389	14.92917	P	PPLA	SI		N8				1053		233	Europe/Ljubljana	2020-06-11
3186285	Župelevec	Zupelevec	Zupelevec,Župelevec	45.95917	15.68722	P	PPL	SI		08				211		188	Europe/Ljubljana	2014-04-25
3186304	Žumberačka Gora	Zumberacka Gora	Gorjanci,Gorjanci Mountains,Uskocke Planine,Uskok,Uskoken Gebirge,Uskočke Planine,Zumberacka Gora,Zumberacke Planine,Žumberačka Gora,Žumberačke Planine	45.75	15.33333	T	MTS	SI		00				0		920	Europe/Ljubljana	2020-06-11
3186323	Žubina	Zubina	Zubina,Žubina	45.94833	14.9175	P	PPL	SI		D4				96		337	Europe/Ljubljana	2014-04-25
3186341	Zrkovci	Zrkovci	Zrkorci,Zrkovci	46.54778	15.7075	P	PPL	SI		J2				629		245	Europe/Ljubljana	2014-04-25
3186346	Zrin Lukački	Zrin Lukacki	Lukacki Zrin,Lukački Zrin,Zrin Lukacki,Zrin Lukački,Zrinj	45.95	17.46667	P	PPL	SI		00				0		104	Europe/Ljubljana	2020-06-11
3186363	Znojile pri Krki	Znojile pri Krki	Znojila,Znojile,Znojile pri Krki	45.89111	14.78417	P	PPL	SI		39				116		323	Europe/Ljubljana	2014-04-24
3186364	Znojile	Znojile	Znojile	46.19611	13.92306	P	PPL	SI		D2				11		690	Europe/Ljubljana	2014-04-24
